TimeStep	Transitions	State	FearLevel	HungerLevel	PosX	posZ
3024	11	Hide	9	2	0.4558	0.3079
3025	11	Hide	9	2	0.4538	0.3061
3026	11	Hide	9	2	0.4538	0.3061
3027	11	Hide	9	2	0.4538	0.3062
3028	11	Hide	9	2	0.4517	0.3046
3029	11	Hide	9	2	0.4496	0.3030
3030	11	Hide	9	2	0.4475	0.3014
3031	11	Hide	9	2	0.4454	0.2999
3032	11	Hide	9	2	0.4433	0.2983
3033	11	Hide	9	2	0.4412	0.2967
3034	11	Hide	9	2	0.4391	0.2951
3035	11	Hide	9	2	0.4391	0.2952
3036	11	Hide	9	2	0.4369	0.2937
3037	11	Hide	9	2	0.4369	0.2937
3038	11	Hide	9	2	0.4347	0.2923
3039	11	Hide	9	2	0.4325	0.2909
3040	11	Hide	9	2	0.4303	0.2895
3041	11	Hide	9	2	0.4280	0.2881
3042	11	Hide	9	2	0.4280	0.2881
3043	11	Hide	9	2	0.4257	0.2868
3044	11	Hide	9	2	0.4235	0.2855
3045	11	Hide	9	2	0.4212	0.2841
3046	11	Hide	9	2	0.4212	0.2841
3047	11	Hide	9	2	0.4188	0.2829
3048	11	Hide	9	2	0.4165	0.2817
3049	11	Hide	9	2	0.4142	0.2805
3050	11	Hide	9	2	0.4142	0.2805
3051	11	Hide	9	2	0.4118	0.2794
3052	11	Hide	9	2	0.4118	0.2794
3053	11	Hide	9	2	0.4094	0.2783
3054	11	Hide	9	2	0.4093	0.2784
3055	11	Hide	9	2	0.4093	0.2784
3056	11	Hide	9	2	0.4068	0.2775
3057	11	Hide	9	2	0.4044	0.2767
3058	11	Hide	9	2	0.4019	0.2758
3059	11	Hide	9	2	0.4019	0.2759
3060	11	Hide	9	2	0.3993	0.2751
3061	11	Hide	9	2	0.3968	0.2744
3062	11	Hide	9	2	0.3968	0.2744
3063	11	Hide	9	2	0.3968	0.2744
3064	11	Hide	9	2	0.3968	0.2744
3065	11	Hide	9	2	0.3967	0.2745
3066	11	Hide	9	2	0.3967	0.2745
3067	11	Hide	9	2	0.3967	0.2745
3068	11	Hide	9	2	0.3967	0.2745
3069	11	Hide	9	2	0.3967	0.2745
3070	11	Hide	9	2	0.3941	0.2746
3071	11	Hide	9	2	0.3915	0.2747
3072	11	Hide	9	2	0.3889	0.2747
3073	11	Hide	9	2	0.3862	0.2748
3074	11	Hide	9	2	0.3836	0.2749
3075	11	Hide	9	2	0.3810	0.2749
3076	11	Hide	9	2	0.3784	0.2750
3077	11	Hide	9	2	0.3757	0.2751
3078	11	Hide	9	2	0.3731	0.2751
3079	11	Hide	9	2	0.3705	0.2752
3080	11	Hide	9	2	0.3679	0.2752
3081	11	Hide	9	2	0.3652	0.2753
3082	11	Hide	9	2	0.3626	0.2754
3083	11	Hide	9	2	0.3600	0.2754
3084	11	Hide	9	2	0.3574	0.2755
3085	11	Hide	9	2	0.3547	0.2756
3086	11	Hide	9	2	0.3521	0.2756
3087	11	Hide	9	2	0.3495	0.2757
3088	11	Hide	9	2	0.3469	0.2758
3089	11	Hide	9	2	0.3442	0.2758
3090	11	Hide	9	2	0.3416	0.2759
3091	11	Hide	9	2	0.3390	0.2760
3092	11	Hide	9	2	0.3364	0.2760
3093	11	Hide	9	2	0.3337	0.2761
3094	11	Hide	9	2	0.3311	0.2761
3095	11	Hide	9	2	0.3285	0.2762
3096	11	Hide	9	2	0.3259	0.2763
3097	11	Hide	9	2	0.3233	0.2763
3098	11	Hide	9	2	0.3206	0.2764
3099	11	Hide	9	2	0.3180	0.2765
3100	11	Hide	9	2	0.3154	0.2765
3101	11	Hide	9	2	0.3128	0.2766
3102	11	Hide	9	2	0.3101	0.2767
3103	11	Hide	9	2	0.3075	0.2767
3104	11	Hide	9	2	0.3075	0.2767
3105	11	Hide	9	2	0.3049	0.2769
3106	11	Hide	9	2	0.3023	0.2771
3107	11	Hide	9	2	0.2996	0.2773
3108	11	Hide	9	2	0.2970	0.2774
3109	11	Hide	9	2	0.2944	0.2776
3110	11	Hide	9	2	0.2918	0.2778
3111	11	Hide	9	2	0.2892	0.2779
3112	11	Hide	9	2	0.2865	0.2781
3113	11	Hide	9	2	0.2839	0.2783
3114	11	Hide	9	2	0.2813	0.2784
3115	11	Hide	9	2	0.2787	0.2786
3116	11	Hide	9	2	0.2761	0.2788
3117	11	Hide	9	2	0.2734	0.2789
3118	11	Hide	9	2	0.2708	0.2791
3119	11	Hide	9	2	0.2682	0.2793
3120	11	Hide	9	2	0.2656	0.2794
3121	11	Hide	9	2	0.2630	0.2796
3122	11	Hide	9	2	0.2603	0.2798
3123	11	Hide	9	2	0.2577	0.2799
3124	11	Hide	9	2	0.2551	0.2801
3125	11	Hide	9	2	0.2525	0.2803
3126	11	Hide	9	2	0.2499	0.2805
3127	11	Hide	9	2	0.2472	0.2806
3128	11	Hide	9	2	0.2446	0.2808
3129	11	Hide	9	2	0.2420	0.2810
3130	11	Hide	9	2	0.2394	0.2811
3131	11	Hide	9	2	0.2368	0.2813
3132	11	Hide	9	2	0.2341	0.2815
3133	11	Hide	9	2	0.2315	0.2816
3134	11	Hide	9	2	0.2289	0.2818
3135	11	Hide	9	2	0.2263	0.2820
3136	11	Hide	9	2	0.2237	0.2821
3137	11	Hide	9	2	0.2211	0.2823
3138	11	Hide	9	2	0.2184	0.2825
3139	11	Hide	9	2	0.2158	0.2826
3140	11	Hide	9	2	0.2132	0.2828
3141	11	Hide	9	2	0.2106	0.2830
3142	11	Hide	9	2	0.2080	0.2831
3143	11	Hide	9	2	0.2053	0.2833
3144	11	Hide	9	2	0.2027	0.2835
3145	11	Hide	9	2	0.2001	0.2837
3146	11	Hide	9	2	0.1975	0.2838
3147	11	Hide	9	2	0.1949	0.2840
3148	11	Hide	9	2	0.1922	0.2842
3149	11	Hide	9	2	0.1896	0.2843
3150	11	Hide	9	2	0.1870	0.2845
3151	11	Hide	9	2	0.1844	0.2847
3152	11	Hide	9	2	0.1818	0.2848
3153	11	Hide	9	2	0.1791	0.2850
3154	11	Hide	9	2	0.1765	0.2852
3155	11	Hide	9	2	0.1739	0.2853
3156	11	Hide	9	2	0.1713	0.2855
3157	11	Hide	9	2	0.1687	0.2857
3158	11	Hide	9	2	0.1660	0.2859
3159	11	Hide	9	2	0.1634	0.2860
3160	11	Hide	9	2	0.1608	0.2862
3161	11	Hide	9	2	0.1582	0.2864
3162	11	Hide	9	2	0.1556	0.2865
3163	11	Hide	9	2	0.1529	0.2867
3164	11	Hide	9	2	0.1503	0.2869
3165	11	Hide	9	2	0.1477	0.2870
3166	11	Hide	9	2	0.1451	0.2872
3167	11	Hide	9	2	0.1425	0.2874
3168	11	Hide	9	2	0.1399	0.2875
3169	11	Hide	9	2	0.1372	0.2877
3170	11	Hide	9	2	0.1346	0.2879
3171	11	Hide	9	2	0.1320	0.2881
3172	11	Hide	9	2	0.1294	0.2882
3173	11	Hide	9	2	0.1268	0.2884
3174	11	Hide	9	2	0.1241	0.2886
3175	11	Hide	9	2	0.1215	0.2887
3176	11	Hide	9	2	0.1189	0.2889
3177	11	Hide	9	2	0.1163	0.2891
3178	11	Hide	9	2	0.1137	0.2892
3179	11	Hide	9	2	0.1110	0.2894
3180	11	Hide	9	2	0.1084	0.2896
3181	11	Hide	9	2	0.1058	0.2897
3182	11	Hide	9	2	0.1032	0.2899
3183	11	Hide	9	2	0.1006	0.2901
3184	11	Hide	9	2	0.0979	0.2903
3185	11	Hide	9	2	0.0953	0.2904
3186	11	Hide	9	2	0.0927	0.2906
3187	11	Hide	9	2	0.0901	0.2908
3188	11	Hide	9	2	0.0875	0.2909
3189	11	Hide	9	2	0.0848	0.2911
3190	11	Hide	9	2	0.0822	0.2913
3191	11	Hide	9	2	0.0796	0.2914
3192	11	Hide	9	2	0.0770	0.2916
3193	11	Hide	9	2	0.0744	0.2918
3194	11	Hide	9	2	0.0717	0.2919
3195	11	Hide	9	2	0.0691	0.2921
3196	11	Hide	9	2	0.0665	0.2923
3197	11	Hide	9	2	0.0639	0.2925
3198	11	Hide	9	2	0.0613	0.2926
3199	11	Hide	9	2	0.0587	0.2928
3200	11	Hide	9	2	0.0560	0.2930
3201	11	Hide	9	2	0.0534	0.2931
3202	11	Hide	9	2	0.0508	0.2933
3203	11	Hide	9	2	0.0482	0.2935
3204	11	Hide	9	2	0.0456	0.2936
3205	11	Hide	9	2	0.0429	0.2938
3206	11	Hide	9	2	0.0403	0.2940
3207	11	Hide	9	2	0.0377	0.2942
3208	11	Hide	9	2	0.0351	0.2943
3209	11	Hide	9	2	0.0325	0.2945
3210	11	Hide	9	2	0.0298	0.2947
3211	11	Hide	9	2	0.0272	0.2948
3212	11	Hide	9	2	0.0246	0.2950
3213	11	Hide	9	2	0.0220	0.2952
3214	11	Hide	9	2	0.0194	0.2953
3215	11	Hide	9	2	0.0167	0.2955
3216	11	Hide	9	2	0.0141	0.2957
3217	11	Hide	9	2	0.0115	0.2959
3218	11	Hide	9	2	0.0089	0.2960
3219	11	Hide	9	2	0.0063	0.2962
3220	11	Hide	9	2	0.0036	0.2964
3221	11	Hide	9	2	0.0010	0.2965
3222	11	Hide	9	2	-0.0016	0.2967
3223	11	Hide	9	2	-0.0042	0.2969
3224	11	Hide	9	2	-0.0068	0.2970
3225	11	Hide	9	2	-0.0095	0.2972
3226	11	Hide	9	2	-0.0121	0.2974
3227	11	Hide	9	2	-0.0147	0.2976
3228	11	Hide	9	2	-0.0173	0.2977
3229	11	Hide	9	2	-0.0199	0.2979
3230	11	Hide	9	2	-0.0225	0.2981
3231	11	Hide	9	2	-0.0252	0.2982
3232	11	Hide	9	2	-0.0278	0.2984
3233	11	Hide	9	2	-0.0304	0.2986
3234	11	Hide	9	2	-0.0330	0.2987
3235	11	Hide	9	2	-0.0356	0.2989
3236	11	Hide	9	2	-0.0383	0.2991
3237	11	Hide	9	2	-0.0409	0.2993
3238	11	Hide	9	2	-0.0435	0.2994
3239	11	Hide	9	2	-0.0461	0.2996
3240	11	Hide	9	2	-0.0487	0.2998
3241	11	Hide	9	2	-0.0514	0.2999
3242	11	Hide	9	2	-0.0540	0.3001
3243	11	Hide	9	2	-0.0566	0.3003
3244	11	Hide	9	2	-0.0592	0.3004
3245	11	Hide	9	2	-0.0618	0.3006
3246	11	Hide	9	2	-0.0645	0.3008
3247	11	Hide	9	2	-0.0671	0.3010
3248	11	Hide	9	2	-0.0697	0.3011
3249	11	Hide	9	2	-0.0723	0.3013
3250	11	Hide	9	2	-0.0749	0.3015
3251	11	Hide	9	2	-0.0776	0.3016
3252	11	Hide	9	2	-0.0802	0.3018
3253	11	Hide	9	2	-0.0828	0.3020
3254	11	Hide	9	2	-0.0854	0.3022
3255	11	Hide	9	2	-0.0880	0.3023
3256	11	Hide	9	2	-0.0906	0.3025
3257	11	Hide	9	2	-0.0933	0.3027
3258	11	Hide	9	2	-0.0959	0.3028
3259	11	Hide	9	2	-0.0985	0.3030
3260	11	Hide	9	2	-0.1011	0.3032
3261	11	Hide	9	2	-0.1037	0.3033
3262	11	Hide	9	2	-0.1064	0.3035
3263	11	Hide	9	2	-0.1090	0.3037
3264	11	Hide	9	2	-0.1116	0.3039
3265	11	Hide	9	2	-0.1142	0.3040
3266	11	Hide	9	2	-0.1168	0.3042
3267	11	Hide	9	2	-0.1195	0.3044
3268	11	Hide	9	2	-0.1221	0.3045
3269	11	Hide	9	2	-0.1247	0.3047
3270	11	Hide	9	2	-0.1273	0.3049
3271	11	Hide	9	2	-0.1299	0.3051
3272	11	Hide	9	2	-0.1326	0.3052
3273	11	Hide	9	2	-0.1352	0.3054
3274	11	Hide	9	2	-0.1378	0.3056
3275	11	Hide	9	2	-0.1404	0.3057
3276	11	Hide	9	2	-0.1430	0.3059
3277	11	Hide	9	2	-0.1457	0.3061
3278	11	Hide	9	2	-0.1483	0.3063
3279	11	Hide	9	2	-0.1509	0.3064
3280	11	Hide	9	2	-0.1535	0.3066
3281	11	Hide	9	2	-0.1561	0.3068
3282	11	Hide	9	2	-0.1588	0.3069
3283	11	Hide	9	2	-0.1614	0.3071
3284	11	Hide	9	2	-0.1640	0.3073
3285	11	Hide	9	2	-0.1666	0.3074
3286	11	Hide	9	2	-0.1692	0.3076
3287	11	Hide	9	2	-0.1718	0.3078
3288	11	Hide	9	2	-0.1745	0.3080
3289	11	Hide	9	2	-0.1771	0.3081
3290	11	Hide	9	2	-0.1797	0.3083
