TimeStep	Transitions	State	FearLevel	HungerLevel	PosX	posZ
2310	11	Hide	9	2	-0.4512	0.4670
2311	11	Hide	9	2	-0.4538	0.4670
2312	11	Hide	9	2	-0.4564	0.4670
2313	11	Hide	9	2	-0.4590	0.4670
2314	11	Hide	9	2	-0.4616	0.4670
2315	11	Hide	9	2	-0.4642	0.4670
2316	11	Hide	9	2	-0.4668	0.4670
2317	11	Hide	9	2	-0.4694	0.4670
2318	11	Hide	9	2	-0.4694	0.4670
2319	11	Hide	9	2	-0.4694	0.4670
2320	11	Hide	9	2	-0.4694	0.4670
2321	11	Hide	9	2	-0.4694	0.4670
2322	11	Hide	9	2	-0.4694	0.4670
2323	11	Hide	9	2	-0.4694	0.4670
2324	11	Hide	9	2	-0.4694	0.4670
2325	11	Hide	9	2	-0.4694	0.4670
2326	11	Hide	9	2	-0.4694	0.4670
2327	11	Hide	9	2	-0.4694	0.4670
2328	11	Hide	9	2	-0.4694	0.4670
2329	11	Hide	9	2	-0.4694	0.4670
2330	11	Hide	9	2	-0.4694	0.4670
2331	11	Hide	9	2	-0.4694	0.4670
2332	11	Hide	9	2	-0.4694	0.4670
2333	11	Hide	9	2	-0.4694	0.4670
2334	11	Hide	9	2	-0.4694	0.4670
2335	11	Hide	9	2	-0.4694	0.4670
2336	11	Hide	9	2	-0.4694	0.4670
2337	11	Hide	9	2	-0.4694	0.4670
2338	11	Hide	9	2	-0.4694	0.4670
2339	11	Hide	9	2	-0.4694	0.4670
2340	11	Hide	9	2	-0.4694	0.4670
2341	11	Hide	9	2	-0.4694	0.4670
2342	11	Hide	9	2	-0.4694	0.4670
2343	11	Hide	9	2	-0.4694	0.4670
2344	11	Hide	9	2	-0.4694	0.4670
2345	11	Hide	9	2	-0.4694	0.4670
2346	11	Hide	9	2	-0.4694	0.4670
2347	11	Hide	9	2	-0.4694	0.4670
2348	11	Hide	9	2	-0.4694	0.4670
2349	11	Hide	9	2	-0.4694	0.4670
2350	11	Hide	9	2	-0.4694	0.4670
2351	11	Hide	9	2	-0.4694	0.4670
2352	11	Hide	9	2	-0.4694	0.4670
2353	11	Hide	9	2	-0.4694	0.4670
2354	11	Hide	9	2	-0.4694	0.4670
2355	11	Hide	9	2	-0.4694	0.4670
2356	11	Hide	9	2	-0.4694	0.4670
2357	11	Hide	9	2	-0.4694	0.4670
2358	11	Hide	9	2	-0.4694	0.4670
2359	11	Hide	9	2	-0.4694	0.4670
2360	11	Hide	9	2	-0.4694	0.4670
2361	11	Hide	9	2	-0.4694	0.4670
2362	11	Hide	9	2	-0.4694	0.4670
2363	11	Hide	9	2	-0.4694	0.4670
2364	11	Hide	9	2	-0.4694	0.4670
