TimeStep	Transitions	State	FearLevel	HungerLevel	PosX	posZ
1890	10	Hide	10	3	0.0436	0.4674
1891	11	Hide	9	4	0.0436	0.4675
1892	11	Hide	9	4	0.0437	0.4675
1893	11	Hide	9	4	0.0411	0.4681
1894	11	Hide	9	4	0.0411	0.4681
1895	11	Hide	9	4	0.0411	0.4681
1896	11	Hide	9	4	0.0411	0.4681
1897	11	Hide	9	4	0.0411	0.4681
1898	11	Hide	9	4	0.0411	0.4681
1899	11	Hide	9	4	0.0411	0.4681
1900	11	Hide	9	4	0.0411	0.4681
1901	11	Hide	9	4	0.0411	0.4681
1902	11	Hide	9	4	0.0411	0.4681
1903	11	Hide	9	4	0.0411	0.4681
1904	11	Hide	9	4	0.0411	0.4681
1905	11	Hide	9	4	0.0411	0.4681
1906	11	Hide	9	4	0.0411	0.4681
1907	11	Hide	9	4	0.0411	0.4681
1908	11	Hide	9	4	0.0411	0.4681
1909	11	Hide	9	4	0.0411	0.4681
1910	11	Hide	9	4	0.0411	0.4681
1911	11	Hide	9	4	0.0411	0.4681
1912	11	Hide	9	4	0.0411	0.4681
1913	11	Hide	9	4	0.0411	0.4681
1914	11	Hide	9	4	0.0411	0.4681
1915	11	Hide	9	4	0.0411	0.4681
1916	11	Hide	9	4	0.0411	0.4681
1917	11	Hide	9	4	0.0411	0.4681
1918	11	Hide	9	4	0.0411	0.4681
1919	11	Hide	9	4	0.0411	0.4681
1920	11	Hide	9	4	0.0411	0.4681
1921	11	Hide	9	4	0.0411	0.4681
1922	11	Hide	9	4	0.0411	0.4681
1923	11	Hide	9	4	0.0411	0.4681
1924	11	Hide	9	4	0.0411	0.4681
1925	11	Hide	9	4	0.0411	0.4681
1926	11	Hide	9	4	0.0411	0.4681
1927	11	Hide	9	4	0.0411	0.4681
1928	11	Hide	9	4	0.0411	0.4681
1929	11	Hide	9	4	0.0411	0.4681
1930	11	Hide	9	4	0.0411	0.4681
1931	11	Hide	9	4	0.0411	0.4681
1932	11	Hide	9	4	0.0411	0.4681
1933	11	Hide	9	4	0.0411	0.4681
1934	11	Hide	9	4	0.0411	0.4681
1935	11	Hide	9	4	0.0411	0.4681
1936	11	Hide	9	4	0.0411	0.4681
1937	11	Hide	9	4	0.0411	0.4681
1938	11	Hide	9	4	0.0411	0.4681
1939	11	Hide	9	4	0.0411	0.4681
1940	11	Hide	9	4	0.0411	0.4681
1941	11	Hide	9	4	0.0411	0.4681
1942	11	Hide	9	4	0.0411	0.4681
1943	11	Hide	9	4	0.0411	0.4681
1944	11	Hide	9	4	0.0411	0.4681
1945	11	Hide	9	4	0.0411	0.4681
1946	11	Hide	9	4	0.0411	0.4681
1947	11	Hide	9	4	0.0411	0.4681
1948	11	Hide	9	4	0.0411	0.4681
1949	11	Hide	9	4	0.0411	0.4681
1950	11	Hide	9	4	0.0411	0.4681
1951	11	Hide	9	4	0.0411	0.4681
1952	11	Hide	9	4	0.0411	0.4681
1953	11	Hide	9	4	0.0411	0.4681
1954	11	Hide	9	4	0.0411	0.4681
1955	11	Hide	9	4	0.0411	0.4681
1956	11	Hide	9	4	0.0411	0.4681
1957	11	Hide	9	4	0.0411	0.4681
1958	11	Hide	9	4	0.0411	0.4681
1959	11	Hide	9	4	0.0411	0.4681
1960	11	Hide	9	4	0.0411	0.4681
1961	11	Hide	9	4	0.0411	0.4681
1962	11	Hide	9	4	0.0411	0.4681
1963	11	Hide	9	4	0.0411	0.4681
1964	11	Hide	9	4	0.0411	0.4681
1965	11	Hide	9	4	0.0411	0.4681
1966	11	Hide	9	4	0.0411	0.4681
1967	11	Hide	9	4	0.0411	0.4681
1968	11	Hide	9	4	0.0411	0.4681
1969	11	Hide	9	4	0.0411	0.4681
1970	11	Hide	9	4	0.0411	0.4681
1971	11	Hide	9	4	0.0411	0.4681
1972	11	Hide	9	4	0.0411	0.4681
1973	11	Hide	9	4	0.0411	0.4681
1974	11	Hide	9	4	0.0411	0.4681
1975	11	Hide	9	4	0.0411	0.4681
1976	11	Hide	9	4	0.0411	0.4681
1977	11	Hide	9	4	0.0411	0.4681
1978	11	Hide	9	4	0.0411	0.4681
1979	11	Hide	9	4	0.0411	0.4681
1980	11	Hide	9	4	0.0411	0.4681
1981	11	Hide	9	4	0.0411	0.4681
1982	11	Hide	9	4	0.0411	0.4681
1983	11	Hide	9	4	0.0411	0.4681
1984	11	Hide	9	4	0.0411	0.4681
1985	11	Hide	9	4	0.0411	0.4681
1986	11	Hide	9	4	0.0411	0.4681
1987	11	Hide	9	4	0.0411	0.4681
1988	11	Hide	9	4	0.0411	0.4681
1989	11	Hide	9	4	0.0411	0.4681
1990	11	Hide	9	4	0.0411	0.4681
1991	11	Hide	9	4	0.0411	0.4681
1992	11	Hide	9	4	0.0411	0.4681
1993	11	Explore	9	4	0.0411	0.4681
1994	12	Explore	8	5	0.0411	0.4681
1995	12	Eat	8	5	0.0411	0.4679
1996	13	Eat	7	6	0.0388	0.4678
1997	13	Eat	7	6	0.0362	0.4677
1998	13	Eat	7	6	0.0336	0.4675
1999	13	Eat	7	6	0.0310	0.4674
2000	13	Eat	7	6	0.0284	0.4673
2001	13	Eat	7	6	0.0258	0.4672
2002	13	Eat	7	6	0.0258	0.4668
2003	13	Eat	7	6	0.0258	0.4664
2004	13	Eat	7	6	0.0231	0.4663
2005	13	Eat	7	6	0.0231	0.4660
2006	13	Eat	7	6	0.0205	0.4658
2007	13	Eat	7	6	0.0205	0.4653
2008	13	Eat	7	6	0.0179	0.4652
2009	13	Eat	7	6	0.0179	0.4647
2010	13	Eat	7	6	0.0179	0.4642
2011	13	Eat	7	6	0.0179	0.4638
2012	13	Eat	7	6	0.0153	0.4634
2013	13	Eat	7	6	0.0153	0.4633
2014	13	Eat	7	6	0.0153	0.4631
2015	13	Eat	7	6	0.0127	0.4624
2016	13	Eat	7	6	0.0102	0.4617
2017	13	Eat	7	6	0.0102	0.4617
2018	13	Eat	7	6	0.0102	0.4616
2019	13	Eat	7	6	0.0078	0.4607
2020	13	Eat	7	6	0.0078	0.4607
2021	13	Eat	7	6	0.0054	0.4596
2022	13	Eat	7	6	0.0030	0.4585
2023	13	Eat	7	6	0.0007	0.4573
2024	13	Eat	7	6	-0.0017	0.4561
2025	13	Eat	7	6	-0.0017	0.4561
2026	13	Eat	7	6	-0.0016	0.4561
2027	13	Eat	7	6	-0.0016	0.4561
2028	13	Eat	7	6	-0.0038	0.4546
2029	13	Eat	7	6	-0.0038	0.4546
2030	13	Eat	7	6	-0.0038	0.4546
2031	13	Eat	7	6	-0.0038	0.4546
2032	13	Eat	7	6	-0.0038	0.4545
2033	13	Eat	7	6	-0.0037	0.4545
2034	13	Eat	7	6	-0.0037	0.4545
2035	13	Eat	7	6	-0.0055	0.4526
2036	13	Eat	7	6	-0.0072	0.4506
2037	13	Eat	7	6	-0.0090	0.4486
2038	13	Eat	7	6	-0.0107	0.4467
2039	13	Eat	7	6	-0.0124	0.4447
2040	13	Eat	7	6	-0.0141	0.4426
2041	13	Eat	7	6	-0.0158	0.4406
2042	13	Eat	7	6	-0.0174	0.4386
2043	13	Eat	7	6	-0.0191	0.4366
2044	13	Eat	7	6	-0.0207	0.4345
2045	13	Eat	7	6	-0.0224	0.4325
2046	13	Eat	7	6	-0.0240	0.4304
2047	13	Eat	7	6	-0.0257	0.4284
2048	13	Eat	7	6	-0.0273	0.4263
2049	13	Eat	7	6	-0.0290	0.4243
2050	13	Eat	7	6	-0.0306	0.4222
2051	13	Eat	7	6	-0.0322	0.4202
2052	13	Eat	7	6	-0.0338	0.4181
2053	13	Eat	7	6	-0.0355	0.4161
2054	13	Eat	7	6	-0.0371	0.4140
2055	13	Eat	7	6	-0.0386	0.4119
2056	13	Eat	7	6	-0.0402	0.4098
2057	13	Eat	7	6	-0.0417	0.4076
2058	13	Eat	7	6	-0.0433	0.4055
2059	13	Eat	7	6	-0.0448	0.4034
2060	13	Eat	7	6	-0.0463	0.4012
2061	13	Eat	7	6	-0.0478	0.3991
2062	13	Eat	7	6	-0.0493	0.3969
2063	13	Eat	7	6	-0.0507	0.3947
2064	13	Eat	7	6	-0.0522	0.3925
2065	13	Eat	7	6	-0.0536	0.3903
2066	13	Eat	7	6	-0.0550	0.3881
2067	13	Eat	7	6	-0.0564	0.3859
2068	13	Eat	7	6	-0.0578	0.3837
2069	13	Eat	7	6	-0.0592	0.3814
2070	13	Eat	7	6	-0.0605	0.3792
2071	13	Eat	7	6	-0.0619	0.3769
2072	13	Eat	7	6	-0.0632	0.3747
2073	13	Eat	7	6	-0.0645	0.3724
2074	13	Eat	7	6	-0.0658	0.3701
2075	13	Eat	7	6	-0.0671	0.3678
2076	13	Eat	7	6	-0.0684	0.3655
2077	13	Eat	7	6	-0.0696	0.3632
2078	13	Eat	7	6	-0.0709	0.3609
2079	13	Eat	7	6	-0.0721	0.3586
2080	13	Eat	7	6	-0.0734	0.3563
2081	13	Eat	7	6	-0.0746	0.3539
2082	13	Eat	7	6	-0.0758	0.3516
2083	13	Eat	7	6	-0.0769	0.3493
2084	13	Eat	7	6	-0.0781	0.3469
2085	13	Eat	7	6	-0.0792	0.3445
2086	13	Eat	7	6	-0.0804	0.3422
2087	13	Eat	7	6	-0.0815	0.3398
2088	13	Eat	7	6	-0.0826	0.3374
2089	13	Eat	7	6	-0.0837	0.3350
2090	13	Eat	7	6	-0.0848	0.3327
2091	13	Eat	7	6	-0.0859	0.3303
2092	13	Eat	7	6	-0.0870	0.3279
2093	13	Eat	7	6	-0.0880	0.3255
2094	13	Eat	7	6	-0.0891	0.3231
2095	13	Eat	7	6	-0.0901	0.3206
2096	13	Eat	7	6	-0.0911	0.3182
2097	13	Eat	7	6	-0.0921	0.3158
2098	13	Eat	7	6	-0.0931	0.3134
2099	13	Eat	7	6	-0.0941	0.3109
2100	13	Eat	7	6	-0.0950	0.3085
2101	13	Eat	7	6	-0.0960	0.3060
2102	13	Eat	7	6	-0.0969	0.3036
2103	13	Eat	7	6	-0.0978	0.3011
2104	13	Eat	7	6	-0.0987	0.2987
2105	13	Eat	7	6	-0.0996	0.2962
2106	13	Eat	7	6	-0.1005	0.2937
2107	13	Eat	7	6	-0.1014	0.2913
2108	13	Eat	7	6	-0.1023	0.2888
2109	13	Eat	7	6	-0.1032	0.2863
2110	13	Eat	7	6	-0.1040	0.2838
2111	13	Eat	7	6	-0.1049	0.2814
2112	13	Eat	7	6	-0.1057	0.2789
2113	13	Eat	7	6	-0.1066	0.2764
2114	13	Eat	7	6	-0.1074	0.2739
2115	13	Eat	7	6	-0.1082	0.2714
2116	13	Eat	7	6	-0.1090	0.2689
2117	13	Eat	7	6	-0.1099	0.2664
2118	13	Eat	7	6	-0.1107	0.2639
2119	13	Eat	7	6	-0.1115	0.2614
2120	13	Eat	7	6	-0.1123	0.2589
